trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
21,False,"{'a': 0.5, 'e': 1}",25,0,-94.73295197914382,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
22,False,"{'a': 0.5, 'e': 1}",25,0,-90.36641914290078,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
23,False,"{'a': 0.5, 'e': 1}",25,0,-52.69373627012483,"{0: 16, 1: 4, 2: 5, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 1}",25,0,-130.16773269385413,"{0: 13, 1: 4, 2: 6, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 1}",30,0,-134.67082949010484,"{0: 19, 1: 2, 2: 5, 3: 3, 4: 1}",0
26,False,"{'a': 0.5, 'e': 1}",20,0,-49.20518705377177,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
27,False,"{'a': 0.5, 'e': 1}",20,0,-82.15365380723712,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 1}",20,4,-51.835075154333005,"{0: 9, 1: 3, 2: 3, 3: 1, 4: 0}",1
29,False,"{'a': 0.5, 'e': 1}",30,0,-135.16727871169581,"{0: 23, 1: 0, 2: 4, 3: 0, 4: 3}",0
30,False,"{'a': 0.5, 'e': 1}",20,0,-146.50957764602038,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
31,False,"{'a': 0.5, 'e': 1}",20,0,-82.21561978505477,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 1}",25,0,-136.2659967243268,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 2}",0
33,False,"{'a': 0.5, 'e': 1}",20,0,-138.00511154548465,"{0: 10, 1: 2, 2: 4, 3: 3, 4: 1}",0
34,False,"{'a': 0.5, 'e': 1}",20,0,-111.3923795412615,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",1
35,False,"{'a': 0.5, 'e': 1}",20,0,-209.03943099265666,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 4}",0
36,False,"{'a': 0.5, 'e': 1}",35,0,-273.1277461191628,"{0: 19, 1: 3, 2: 7, 3: 2, 4: 4}",0
37,False,"{'a': 0.5, 'e': 1}",25,0,-120.14133011451415,"{0: 13, 1: 5, 2: 5, 3: 1, 4: 1}",0
38,False,"{'a': 0.5, 'e': 1}",20,5,-91.22616395074081,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 2}",1
39,False,"{'a': 0.5, 'e': 1}",35,0,-137.711140499308,"{0: 25, 1: 0, 2: 7, 3: 1, 4: 2}",0
40,False,"{'a': 0.5, 'e': 1}",30,0,-173.59510021998986,"{0: 17, 1: 1, 2: 9, 3: 1, 4: 2}",0
41,False,"{'a': 0.5, 'e': 1}",20,0,-210.34844466280578,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
42,False,"{'a': 0.5, 'e': 1}",20,4,-27.2375823626124,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 0}",1
